period_yyyymm,path,row_count,source_files,loaded_at
2024-07,year=2024/month=07/data.parquet,2358771,"['기타 2021-2026.02.xlsx', '병원 2024.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2024.xlsx', '의원_ 내과 제외 2407-08 .xlsx', '의원_내과 세부진료과 2024.xlsx']",2026-05-19T01:23:49+09:00
2024-08,year=2024/month=08/data.parquet,2358771,"['기타 2021-2026.02.xlsx', '병원 2024.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2024.xlsx', '의원_ 내과 제외 2407-08 .xlsx', '의원_내과 세부진료과 2024.xlsx']",2026-05-19T01:23:49+09:00
2024-09,year=2024/month=09/data.parquet,2363998,"['기타 2021-2026.02.xlsx', '병원 2024.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2024.xlsx', '의원_ 내과 제외 2409-10.xlsx', '의원_내과 세부진료과 2024.xlsx']",2026-05-19T01:23:49+09:00
2024-10,year=2024/month=10/data.parquet,2363998,"['기타 2021-2026.02.xlsx', '병원 2024.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2024.xlsx', '의원_ 내과 제외 2409-10.xlsx', '의원_내과 세부진료과 2024.xlsx']",2026-05-19T01:23:49+09:00
2024-11,year=2024/month=11/data.parquet,2372256,"['기타 2021-2026.02.xlsx', '병원 2024.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2024.xlsx', '의원_ 내과 제외 2411-12.xlsx', '의원_내과 세부진료과 2024.xlsx']",2026-05-19T01:23:49+09:00
2024-12,year=2024/month=12/data.parquet,2372256,"['기타 2021-2026.02.xlsx', '병원 2024.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2024.xlsx', '의원_ 내과 제외 2411-12.xlsx', '의원_내과 세부진료과 2024.xlsx']",2026-05-19T01:23:49+09:00
2025-01,year=2025/month=01/data.parquet,2418686,"['기타 2021-2026.02.xlsx', '병원 2025.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '의원_ 내과 제외 2501-02.xlsx', '의원_내과 세부진료과 2025.xlsx']",2026-05-19T01:23:49+09:00
2025-02,year=2025/month=02/data.parquet,2418686,"['기타 2021-2026.02.xlsx', '병원 2025.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '의원_ 내과 제외 2501-02.xlsx', '의원_내과 세부진료과 2025.xlsx']",2026-05-19T01:23:49+09:00
2025-03,year=2025/month=03/data.parquet,2428633,"['기타 2021-2026.02.xlsx', '병원 2025.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '의원_ 내과 제외 2503-04.xlsx', '의원_내과 세부진료과 2025.xlsx']",2026-05-19T01:23:49+09:00
2025-04,year=2025/month=04/data.parquet,2428633,"['기타 2021-2026.02.xlsx', '병원 2025.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '의원_ 내과 제외 2503-04.xlsx', '의원_내과 세부진료과 2025.xlsx']",2026-05-19T01:23:49+09:00
2025-05,year=2025/month=05/data.parquet,1443937,"['기타 2021-2026.02.xlsx', '병원 2025.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '의원_내과 세부진료과 2025.xlsx']",2026-05-19T01:23:49+09:00
2025-06,year=2025/month=06/data.parquet,2422130,"['기타 2021-2026.02.xlsx', '병원 2025.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '의원_ 내과 제외 2506-07.xlsx', '의원_내과 세부진료과 2025.xlsx']",2026-05-19T01:23:49+09:00
2025-07,year=2025/month=07/data.parquet,2422130,"['기타 2021-2026.02.xlsx', '병원 2025.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '의원_ 내과 제외 2506-07.xlsx', '의원_내과 세부진료과 2025.xlsx']",2026-05-19T01:23:49+09:00
2025-08,year=2025/month=08/data.parquet,2441250,"['기타 2021-2026.02.xlsx', '병원 2025.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '의원_내과 세부진료과 2025.xlsx', '의원_내과 제외 2508-09.xlsx']",2026-05-19T01:23:49+09:00
2025-09,year=2025/month=09/data.parquet,2441250,"['기타 2021-2026.02.xlsx', '병원 2025.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '의원_내과 세부진료과 2025.xlsx', '의원_내과 제외 2508-09.xlsx']",2026-05-19T01:23:49+09:00
2025-10,year=2025/month=10/data.parquet,2278901,"['기타 2021-2026.02.xlsx', '병원 2025.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '의원_내과 세부진료과 2025.xlsx', '의원_내과 제외 2510.xlsx']",2026-05-19T01:23:49+09:00
2025-11,year=2025/month=11/data.parquet,2284076,"['기타 2021-2026.02.xlsx', '병원 2025.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '의원_내과 세부진료과 2025.xlsx', '의원_내과 제외 2511.xlsx']",2026-05-19T01:23:49+09:00
2025-12,year=2025/month=12/data.parquet,2297451,"['기타 2021-2026.02.xlsx', '병원 2025.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '의원_내과 세부진료과 2025.xlsx', '의원_내과 제외 2512.xlsx']",2026-05-19T01:23:49+09:00
2026-01,year=2026/month=01/data.parquet,2366636,"['기타 2021-2026.02.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '의원_내과 제외 2601-02.xlsx', '종병 병원 2601-02.xlsx']",2026-05-19T01:23:49+09:00
2026-02,year=2026/month=02/data.parquet,4285520,"['기타 2021-2026.02.xlsx', '보건소 2023-2026.02.xlsx', '상급종병_2025 2026.xlsx', '성분_병원.xlsx', '성분_상급종병.xlsx', '성분_의원_내과 세부진료과.xlsx', '성분_의원_내과 제외.xlsx', '성분_종병.xlsx', '의원_내과 제외 2601-02.xlsx', '종병 병원 2601-02.xlsx']",2026-05-19T01:23:49+09:00
2026-03,year=2026/month=03/data.parquet,2278970,"['UBIST 2026.03-04 의원_ 내과 제외 (진료과 29개).xlsx', 'UBIST 2026.03-04 의원_내과 세부진료과.xlsx', 'UBIST 2026.03.xlsx']",2026-05-19T01:23:49+09:00
2026-04,year=2026/month=04/data.parquet,2283773,"['UBIST 2026.03-04 의원_ 내과 제외 (진료과 29개).xlsx', 'UBIST 2026.03-04 의원_내과 세부진료과.xlsx', 'UBIST 2026.04.xlsx']",2026-05-19T01:23:49+09:00
