level,market,brand_id,brand_name,brand_normalized,matched_brand_in_master,current_value,target_value,policy,match_type,action,confidence
ml,ml_008,sb_008_00979,텔로타틴,텔로타틴,텔로타틴,Rosuvastatin/Telmisartan/Amlodipine,Rosuvastatin/Telmisartan/Amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00519,텔로트윈,텔로트윈,텔로트윈,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00532,텔로핀,텔로핀,텔로핀,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00420,텔로핀 셋,텔로핀셋,텔로핀셋,Telmisartan/Amlodipine/Chlorthalidone,Telmisartan/Amlodipine/Chlorthalidone,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00537,텔론스타,텔론스타,텔론스타,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00141,텔리토,텔리토,텔리토,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00320,텔리토 플러스,텔리토플러스,텔리토플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00138,텔미,텔미,텔미,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00487,텔미노바,텔미노바,텔미노바,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00683,텔미누보,텔미누보,텔미누보,Telmisartan/S-amlodipine | Telmisartan/s-amlodipine,Telmisartan/S-amlodipine,molecule,normalized,UPDATE,HIGH
ml,ml_008,sb_008_00173,텔미다운,텔미다운,텔미다운,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00499,텔미듀얼,텔미듀얼,텔미듀얼,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00982,텔미듀오 플러스,텔미듀오플러스,텔미듀오플러스,Rosuvastatin/Telmisartan/Amlodipine,Rosuvastatin/Telmisartan/Amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00546,텔미디퀄,텔미디퀄,텔미디퀄,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00544,텔미디핀,텔미디핀,텔미디핀,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00399,텔미디핀 플러스,텔미디핀플러스,텔미디핀플러스,Temisartan/amlodipine/Hydrochlothiazide,Temisartan/amlodipine/Hydrochlothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00174,텔미라,텔미라,텔미라,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00343,텔미라 플러스,텔미라플러스,텔미라플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00540,텔미로디,텔미로디,텔미로디,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_01034,텔미로브,텔미로브,텔미로브,Rosuvastatin/Telmisartan,Rosuvastatin/Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_01044,텔미로원,텔미로원,텔미로원,Rosuvastatin/Telmisartan,Rosuvastatin/Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_01026,텔미로젯,텔미로젯,텔미로젯,Rosuvastatin/EZ/Telmisartan,Rosuvastatin/EZ/Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00149,텔미로탄,텔미로탄,텔미로탄,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00325,텔미로탄 플러스,텔미로탄플러스,텔미로탄플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00337,텔미로 플러스,텔미로플러스,텔미로플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00482,텔미로핀,텔미로핀,텔미로핀,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00176,텔미르,텔미르,텔미르,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00344,텔미르플러스,텔미르플러스,텔미르플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00551,텔미르핀,텔미르핀,텔미르핀,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00175,텔미린,텔미린,텔미린,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00318,텔미모어,텔미모어,텔미모어,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00132,텔미베타,텔미베타,텔미베타,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00315,텔미베타 플러스,텔미베타플러스,텔미베타플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00137,텔미살탄,텔미살탄,텔미살탄,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00143,텔미스,텔미스,텔미스,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00536,텔미스크,텔미스크,텔미스크,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00135,텔미스타,텔미스타,텔미스타,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00493,텔미스타 엑스,텔미스타엑스,텔미스타엑스,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00317,텔미스타 플러스,텔미스타플러스,텔미스타플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00321,텔미스 플러스,텔미스플러스,텔미스플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00548,텔미암,텔미암,텔미암,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00534,텔미암로,텔미암로,텔미암로,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00489,텔미암핀,텔미암핀,텔미암핀,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00154,텔미원,텔미원,텔미원,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00977,텔미원스플러스,텔미원스플러스,텔미원스플러스,Rosuvastatin/Telmisartan/Amlodipine,Rosuvastatin/Telmisartan/Amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00328,텔미원 플러스,텔미원플러스,텔미원플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00178,텔미일,텔미일,텔미일,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00346,텔미일 플러스,텔미일플러스,텔미일플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00179,텔미즈,텔미즈,텔미즈,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00347,텔미즈 플러스,텔미즈플러스,텔미즈플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00129,텔미카르,텔미카르,텔미카르,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00167,텔미칸,텔미칸,텔미칸,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00533,텔미칸 에이,텔미칸에이,텔미칸에이,Telmisartan/amlodipine,Telmisartan/amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00421,텔미칸 에이 플러스,텔미칸에이플러스,텔미칸에이플러스,Telmisartan/Amlodipine/Chlorthalidone,Telmisartan/Amlodipine/Chlorthalidone,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00967,텔미칸 큐,텔미칸큐,텔미칸큐,Rosuvastatin/EZ/Telmisartan/Amlodipine,Rosuvastatin/EZ/Telmisartan/Amlodipine,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00338,텔미칸 플러스,텔미칸플러스,텔미칸플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00155,텔미코르,텔미코르,텔미코르,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00177,텔미콜,텔미콜,텔미콜,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00345,텔미콜 플러스,텔미콜플러스,텔미콜플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00170,텔미큐어,텔미큐어,텔미큐어,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00340,텔미큐어 플러스,텔미큐어플러스,텔미큐어플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00148,텔미탄,텔미탄,텔미탄,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00324,텔미탄 플러스,텔미탄플러스,텔미탄플러스,Telmisartan/Hydrochlorothiazide,Telmisartan/Hydrochlorothiazide,molecule,normalized,NOOP,HIGH
ml,ml_008,sb_008_00134,텔미텐션,텔미텐션,텔미텐션,Telmisartan,Telmisartan,molecule,normalized,NOOP,HIGH
