NAME                                                           READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                          IMAGES                                                                                                                                                                                                    SELECTOR
deployment.apps/litellm-proxy                                  0/0     0            0           105d    litellm                             asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/litellm-proxy:v1.2.3                                                                                                          app=litellm-proxy
deployment.apps/llmops-admin-api-deployment                    1/1     1            1           107d    llmops-admin-api                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-admin-api:v1.8.1-21-g7f1aa6ae2f                                                                                        app=llmops-admin-api
deployment.apps/llmops-admin-front-deployment                  1/1     1            1           107d    llmops-admin-front                  asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-admin-front:v1.8.1-18-g66aa74203c                                                                                      app=llmops-admin-front
deployment.apps/llmops-app-front-deployment                    1/1     1            1           107d    llmops-app-front                    asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-app-front:v1.8.1                                                                                                       app=llmops-app-front
deployment.apps/llmops-cdn-api-deployment                      1/1     1            1           107d    llmops-cdn-api                      asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-cdn-api:v1.8.1                                                                                                         app=llmops-cdn-api
deployment.apps/llmops-chat-api-deployment                     1/1     1            1           107d    llmops-chat-api                     asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-chat-api:v1.8.1                                                                                                        app=llmops-chat-api
deployment.apps/llmops-container-status-api-deployment         1/1     1            1           107d    llmops-container-status-api         asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-container-status-api:v1.8.1                                                                                            app=llmops-container-status-api
deployment.apps/llmops-container-status-collector-deployment   1/1     1            1           107d    llmops-container-status-collector   asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-container-status-collector:v1.8.1                                                                                      app=llmops-container-status-collector
deployment.apps/llmops-credit-event-worker-deployment          1/1     1            1           107d    llmops-credit-event-worker          asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-credit-event-worker:v1.8.1-cost-runtime-attribution-r13-20260416                                                       app=llmops-credit-event-worker
deployment.apps/llmops-data-api-deployment                     1/1     1            1           107d    llmops-data-api                     asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-data-api:vertex-proxy-compat-embedfix-38996bfa02-20260427-143027                                                       app=llmops-data-api
deployment.apps/llmops-evaluation-api-deployment               1/1     1            1           107d    llmops-evaluation-api               asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-evaluation-api:v1.8.1                                                                                                  app=llmops-evaluation-api
deployment.apps/llmops-flowise-300-deployment                  1/1     1            1           107d    llmops-flowise-300                  asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-flowise-300@sha256:bb0a68dcbcb27833d7fba9f53b62d2650ae62f37ce94397e2ad341ffef81a8da                                    app=llmops-flowise-300
deployment.apps/llmops-gateway-api-deployment                  1/1     1            1           107d    llmops-gateway-api                  asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-gateway-api:v1.8.1-19-g26cf621370                                                                                      app=llmops-gateway-api
deployment.apps/llmops-gitea-deployment                        1/1     1            1           88d     llmops-gitea                        asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/gitea/gitea:1.25.2                                                                                                            app=llmops-gitea
deployment.apps/llmops-litellm-deployment                      8/8     8            8           80d     llmops-litellm                      asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/litellm:v1.83.14-stable.patch.3                                                                                               app=llmops-litellm
deployment.apps/llmops-log-server-deployment                   1/1     1            1           107d    llmops-log-server                   asia-northeast3-docker.pkg.dev/prj-jw-agn-stg-ai/ar-jw-agn-stg-genos-dev-01/llmops-log-server:v1.8.1                                                                                                      app=llmops-log-server
