brand_id,column,before,after
sb_006_00051,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00051,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00052,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00052,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00053,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00053,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00054,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00054,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00055,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00055,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00056,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00056,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00057,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00057,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00058,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00058,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00059,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00059,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
sb_006_00060,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sb_006_00060,ingested_at,2026-05-17T07:07:25.045131,2026-05-18T16:21:40
