product_id,column,before,after
sp_002_00030_008,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00030_008,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00030_009,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00030_009,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00031_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00031_001,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00031_002,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00031_002,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00031_003,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00031_003,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00031_004,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00031_004,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00031_005,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00031_005,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00031_006,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00031_006,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00031_007,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00031_007,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00031_008,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00031_008,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00031_009,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
sp_002_00031_009,ingested_at,2026-05-17T07:09:02.212513,2026-05-18T16:23:58
sp_002_00032_001,source_file_version,MI팀_시장분석 AI_시장 분석 Master Version (260422).xlsx,MI팀_시장분석 AI_시장 분석 Master Version (원본파일 점검용 재공유 2026.05.18).xlsx
